,feature,importance_score
182,diag_3_diagnosis_18,0.0027906
151,diag_1_diagnosis_6,0.0027816
165,diag_2_diagnosis_2,0.002718
160,diag_2_diagnosis_14,0.0026414
90,max_glu_serum_Norm,0.0024728
131,discharge_disposition_id_5,0.0022755
185,diag_3_diagnosis_20,0.002256
171,diag_2_diagnosis_7,0.0021472
86,race_Other,0.002126
152,diag_1_diagnosis_7,0.0021097
139,diag_1_diagnosis_12,0.002056
73,age__20_30_,0.0020259
150,diag_1_diagnosis_5,0.0020166
115,discharge_disposition_id_13,0.0019935
116,discharge_disposition_id_14,0.0019177
145,diag_1_diagnosis_19,0.0017664
64,payer_code_OG,0.001663
158,diag_2_diagnosis_12,0.0016213
11,repaglinide_No,0.0015712
103,admission_source_id_2,0.0015527
166,diag_2_diagnosis_20,0.0015028
10,metformin_Up,0.0014763
130,discharge_disposition_id_4,0.0014631
12,repaglinide_Steady,0.001436
108,admission_source_id_5,0.00141
88,max_glu_serum_>300,0.0012856
133,discharge_disposition_id_7,0.0012532
66,payer_code_PO,0.0012513
28,glyburide_Up,0.0012297
83,race_Asian,0.001221
25,glipizide_Up,0.0011041
48,glyburide_metformin_No,0.0009981
72,age__10_20_,0.0009842
59,payer_code_DM,0.0009771
49,glyburide_metformin_Steady,0.0009528
14,nateglinide_No,0.0009215
15,nateglinide_Steady,0.0009038
177,diag_3_diagnosis_12,0.0008151
125,discharge_disposition_id_23,0.0007127
22,glimepiride_Up,0.0005891
36,acarbose_No,0.0004286
32,pioglitazone_Up,0.0004107
37,acarbose_Steady,0.0003905
106,admission_source_id_3,0.0003718
71,payer_code_WC,0.0003577
35,rosiglitazone_Up,0.0003069
161,diag_2_diagnosis_15,0.0003016
56,payer_code_CH,0.000294
128,discharge_disposition_id_28,0.0002849
65,payer_code_OT,0.0002535
180,diag_3_diagnosis_15,0.0002444
134,discharge_disposition_id_8,0.0002116
63,payer_code_MP,0.0001958
126,discharge_disposition_id_24,0.000169
13,repaglinide_Up,0.0001596
142,diag_1_diagnosis_15,0.0001512
17,chlorpropamide_No,0.0001398
18,chlorpropamide_Steady,0.0001235
117,discharge_disposition_id_15,0.0001112
67,payer_code_SI,0.0001109
43,tolazamide_Steady,0.0001042
29,tolbutamide_Steady,7.63e-05
40,miglitol_Steady,7.52e-05
39,miglitol_No,6.34e-05
98,admission_type_id_7,5.87e-05
16,nateglinide_Up,3.27e-05
51,glipizide_metformin_Steady,2.55e-05
121,discharge_disposition_id_19,2.44e-05
96,admission_type_id_4,2.17e-05
38,acarbose_Up,2.1e-05
135,discharge_disposition_id_9,2e-05
111,admission_source_id_8,1.8e-05
119,discharge_disposition_id_17,1.54e-05
118,discharge_disposition_id_16,1.04e-05
147,diag_1_diagnosis_20,9e-06
127,discharge_disposition_id_27,8.6e-06
50,glyburide_metformin_Up,8.3e-06
113,discharge_disposition_id_10,7.3e-06
99,admission_source_id_10,6.1e-06
104,admission_source_id_22,5.7e-06
54,metformin_pioglitazone_Steady,4.5e-06
123,discharge_disposition_id_20,4.1e-06
19,chlorpropamide_Up,3.8e-06
114,discharge_disposition_id_12,1.7e-06
44,tolazamide_Up,7e-07
52,glimepiride_pioglitazone_Steady,1e-07
101,admission_source_id_13,0.0
102,admission_source_id_14,0.0
41,miglitol_Up,0.0
53,metformin_rosiglitazone_Steady,0.0
100,admission_source_id_11,0.0
105,admission_source_id_25,0.0
42,troglitazone_Steady,0.0
